12:59:27.128 ->    ===== PID controlled glass heater =====================   Stage-Top Incubator component
12:59:27.128 ->    Initial Temperature:55.44
12:59:27.128 ->  
12:59:27.128 -> T(enclosure):	T(glass):	T(slope):	T(mse):	setPt(glass):	setPt(enclosure):	PWMOut:	V(in):	PID:	Error:	Msg:
12:59:27.128 -> 	36.03	55.44	0.00	0.000	55.00	37.0	0.00	0.00	2.00/96.00/21.00	0	
12:59:29.128 -> 	36.01	54.67	 inf	0.165	55.00	37.0	45.00	24.50	2.00/96.00/21.00	 0	 
12:59:31.168 -> 	35.98	54.54	-inf	0.263	55.00	37.0	45.00	22.10	2.00/96.00/21.00	 0	 
12:59:33.167 -> 	35.98	54.51	 inf	0.319	55.00	37.0	45.00	21.39	2.00/96.00/21.00	 0	 
12:59:35.167 -> 	36.05	54.63	 inf	0.330	55.00	37.0	44.54	21.32	2.00/96.00/21.00	 0	 
12:59:37.207 -> 	36.03	54.70	 inf	0.325	55.00	37.0	44.84	22.30	2.00/96.00/21.00	 0	 
12:59:39.207 -> 	36.00	54.73	 inf	0.317	55.00	37.0	45.00	22.24	2.00/96.00/21.00	 0	 
12:59:41.207 -> 	36.09	54.77	 inf	0.306	55.00	37.0	45.00	21.85	2.00/96.00/21.00	 0	 
12:59:43.246 -> 	36.09	54.84	 inf	0.289	55.00	37.0	44.55	21.09	2.00/96.00/21.00	 0	 
12:59:45.246 -> 	36.08	55.06	 nan	0.267	55.00	37.0	30.78	22.19	2.00/96.00/21.00	 0	 
12:59:47.286 -> 	36.16	55.03	 inf	0.245	55.00	37.0	27.20	23.35	2.00/96.00/21.00	 0	 
12:59:49.286 -> 	36.13	55.12	 inf	0.235	55.00	37.0	2.82	23.36	2.00/96.00/21.00	 0	 
12:59:51.286 -> 	36.17	55.11	 inf	0.225	55.00	37.0	0.00	24.52	2.00/96.00/21.00	 0	 
12:59:53.326 -> 	36.19	55.16	 inf	0.221	55.00	37.0	0.00	24.50	2.00/96.00/21.00	 0	 
12:59:55.325 -> 	36.17	55.12	 inf	0.214	55.00	37.0	0.22	24.50	2.00/96.00/21.00	 0	 
12:59:57.325 -> 	36.18	55.18	 inf	0.212	55.00	37.0	0.00	24.50	2.00/96.00/21.00	 0	 
12:59:59.365 -> 	36.22	55.11	 inf	0.205	55.00	37.0	0.55	24.51	2.00/96.00/21.00	 0	 
13:00:01.365 -> 	36.21	55.00	 inf	0.194	55.00	37.0	1.06	24.50	2.00/96.00/21.00	 0	 
13:00:03.405 -> 	36.25	54.99	-inf	0.184	55.00	37.0	2.31	24.51	2.00/96.00/21.00	 0	 
13:00:05.404 -> 	36.29	54.97	-inf	0.177	55.00	37.0	7.26	24.52	2.00/96.00/21.00	 0	 
13:00:07.404 -> 	36.23	54.87	-inf	0.174	55.00	37.0	32.78	24.44	2.00/96.00/21.00	 0	 
13:00:09.444 -> 	36.25	54.86	-inf	0.173	55.00	37.0	45.00	21.87	2.00/96.00/21.00	 0	 
13:00:11.444 -> 	36.23	55.03	-inf	0.167	55.00	37.0	36.88	22.51	2.00/96.00/21.00	 0	 
13:00:13.444 -> 	36.26	55.00	-inf	0.160	55.00	37.0	38.42	23.04	2.00/96.00/21.00	 0	 
13:00:15.483 -> 	36.29	54.96	-inf	0.155	55.00	37.0	45.00	22.25	2.00/96.00/21.00	 0	 
